                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1875,                 2.2295,                  1.521,                0.00333,                      1,                0.46343,                0.20162,                 1.5446,                 3.6899,                 2.4924,                0.00032,                0.00032,                0.00032
                      2,                 1.1355,                 1.4552,                 1.4291,                0.00333,                      1,                0.48516,                0.20974,                 1.5931,                 3.4612,                 2.5819,             0.00062733,             0.00062733,             0.00062733
                      3,                 1.2202,                 1.4627,                 1.4771,                0.39485,                0.23435,                 0.2458,                0.09361,                 2.1411,                 3.5055,                  3.899,               0.000901,               0.000901,               0.000901
                      4,                 1.2866,                 1.5128,                 1.5456,                0.00516,                0.07692,                0.00153,                0.00029,                  3.628,                 84.788,                 20.602,               0.001141,               0.001141,               0.001141
                      5,                 1.2627,                 1.4402,                 1.5278,                0.00053,                0.15385,                 0.0003,                  7e-05,                 3.5622,                 5538.7,                 12.698,              0.0013474,              0.0013474,              0.0013474
                      6,                 1.3344,                 1.4418,                 1.5529,                0.00236,                0.05128,                0.00158,                0.00051,                 3.3019,                  16.54,                 3.4184,               0.001505,               0.001505,               0.001505
                      7,                 1.2566,                 1.3272,                 1.4907,                0.15623,                0.22793,                0.08731,                0.02933,                 2.4964,                  4.143,                 3.7186,               0.001406,               0.001406,               0.001406
                      8,                 1.2143,                 1.1824,                 1.4504,                 0.0344,                0.15385,                0.01743,                0.00576,                 3.0735,                 4.4535,                 3.9164,               0.001307,               0.001307,               0.001307
                      9,                 1.1769,                 1.1727,                 1.4238,                 0.1048,                0.17949,                0.03864,                0.00895,                 3.1146,                 10.962,                 3.2139,               0.001208,               0.001208,               0.001208
                     10,                 1.1298,                 1.0577,                 1.4076,                0.20884,                0.41026,                0.15041,                0.05398,                 2.2667,                 3.9298,                  2.703,               0.001109,               0.001109,               0.001109
                     11,                 1.1063,                 1.0724,                 1.4103,                 0.6698,                0.69231,                0.66035,                0.22678,                 2.0734,                 2.0427,                 2.5966,                0.00101,                0.00101,                0.00101
                     12,                 1.1044,                 1.0106,                 1.4255,                0.57004,                0.48718,                0.54961,                0.25169,                 1.8208,                 1.9017,                 2.5791,               0.000911,               0.000911,               0.000911
                     13,                 1.0517,                 0.9586,                 1.3919,                0.83411,                0.82051,                0.85408,                0.44983,                 1.4464,                 1.5176,                 2.0944,               0.000812,               0.000812,               0.000812
                     14,                  1.043,                0.90975,                 1.3784,                0.83294,                0.89493,                0.88319,                 0.4345,                 1.6413,                 1.6779,                   2.39,               0.000713,               0.000713,               0.000713
                     15,                0.96171,                0.82512,                 1.3184,                0.86374,                0.74359,                0.86351,                 0.5088,                 1.4081,                 1.5417,                 2.0922,               0.000614,               0.000614,               0.000614
                     16,                 0.9381,                0.75537,                 1.3016,                0.91549,                0.83352,                0.90224,                0.55913,                 1.4503,                  1.138,                 1.9947,               0.000515,               0.000515,               0.000515
                     17,                0.89253,                0.71923,                  1.263,                0.95511,                0.94872,                 0.9894,                0.60265,                 1.3925,                0.89325,                 1.8684,               0.000416,               0.000416,               0.000416
                     18,                0.88925,                0.73625,                 1.2445,                0.94796,                0.97436,                0.98769,                0.60887,                 1.3185,                0.87127,                 1.8967,               0.000317,               0.000317,               0.000317
                     19,                0.83651,                0.68124,                 1.2291,                0.97009,                      1,                  0.995,                0.63273,                  1.371,                0.85937,                  1.955,               0.000218,               0.000218,               0.000218
                     20,                0.80194,                0.65515,                 1.2151,                0.99465,                      1,                  0.995,                0.66146,                 1.2721,                 0.7732,                 1.8129,               0.000119,               0.000119,               0.000119
